date_sent,slot,item_type,track,title,source_url,arxiv_or_doi,topic_tags,quality_label
2026-07-03,2,paper,mean_audio,DetailAnywhere: Fashion Detail Generation via Cross-Modal Feature Alignment Distillation,https://arxiv.org/abs/2607.02220v1,2607.02220v1,text-to-audio/music|evaluation,新
2026-07-04,1,paper,mean_audio,UT-AISTimprt submission for ICME 2026 Grand Challenge on Academic Text-to-Music Generation,https://arxiv.org/abs/2607.01669v1,2607.01669v1,text-to-audio/music|evaluation,新
2026-07-04,2,paper,mean_audio,A Multi-Branch Hierarchy-Aware Framework for Heterogeneous Audio Classification,https://arxiv.org/abs/2607.01974v1,2607.01974v1,text-to-audio/music|evaluation,新
2026-07-04,1,paper,mean_audio,Alignment Is All You Need For X-to-4D Generation,https://arxiv.org/abs/2607.02516v1,2607.02516v1,text-to-audio/music,新
2026-07-04,2,paper,mean_audio,Controllable Sim Agents with Behavior Latents,https://arxiv.org/abs/2607.02496v1,2607.02496v1,text-to-audio/music|flow/diffusion,新
2026-07-05,1,paper,mean_audio,Neural Audio Codec with Adjustable Token Temporal Resolution Using Sampling-Frequency-Independent Convolutional Layers,https://arxiv.org/abs/2607.01865,2607.01865,codec/tokenizer|text-to-audio/music|token rate,新且重要
2026-07-05,2,paper,general_mir,Decomposer: Learning to Decompile Symbolic Music to Programs,https://arxiv.org/abs/2607.01849,2607.01849,MIDI/score|symbolic music|RL reward,新
2026-07-05,0,repo,github,nomadkaraoke/karaoke-gen,https://github.com/nomadkaraoke/karaoke-gen,,karaoke|lyrics sync|source separation,
2026-07-06,1,paper,karaoke_jp,VocalParse: Towards Unified and Scalable Singing Voice Transcription with Large Audio Language Models,https://arxiv.org/abs/2605.04613,2605.04613,唱聲轉譜|LALM|歌詞對齊,新且重要
2026-07-06,2,paper,mean_audio,MR-FlowDPO: Multi-Reward Direct Preference Optimization for Flow-Matching Text-to-Music Generation,https://arxiv.org/abs/2512.10264,2512.10264,reward alignment|DPO|text-to-music,重要
2026-07-06,0,repo,github,pymaster17/VocalParse,https://github.com/pymaster17/VocalParse,,singing-voice-transcription|LALM|karaoke,
2026-07-08,1,paper,mean_audio,Resonate: Reinforcing Text-to-Audio Generation via Online Feedback from Large Audio Language Models,https://arxiv.org/abs/2603.11661,2603.11661,reward alignment|GRPO|text-to-audio,重要
2026-07-08,2,paper,karaoke_jp,"STARS: A Unified Framework for Singing Transcription, Alignment, and Refined Style Annotation",https://arxiv.org/abs/2507.06670,2507.06670,歌詞對齊|唱聲轉譜|風格標註,重要
2026-07-08,0,repo,github,rzru/nightingale,https://github.com/rzru/nightingale,,karaoke|pitch scoring|singing,
2026-07-10,1,paper,karaoke_jp,SongTrans: An unified song transcription and alignment method for lyrics and notes,https://arxiv.org/abs/2409.14619,2409.14619,歌詞對齊|唱聲轉譜|mora-to-note,重要
2026-07-10,2,paper,mean_audio,Optimal Transport Audio Distance with Learned Riemannian Ground Metrics,https://arxiv.org/abs/2605.05554,2605.05554,FAD 替代|optimal transport|evaluation,新且重要
2026-07-10,0,repo,github,ZFTurbo/Music-Source-Separation-Training,https://github.com/ZFTurbo/Music-Source-Separation-Training,,source separation|BS-RoFormer|LoRA,
2026-07-11,1,paper,karaoke_jp,Note-Level Singing Melody Transcription for Time-Aligned Musical Score Generation,https://arxiv.org/abs/2502.12438,2502.12438,唱聲轉譜|MIDI/score|mora-to-note,重要
2026-07-11,2,paper,mean_audio,Investigating Group Relative Policy Optimization for Diffusion Transformer based Text-to-Audio Generation,https://arxiv.org/abs/2603.01565,2603.01565,reward alignment|GRPO|text-to-audio,重要
2026-07-11,0,repo,github,HeartMuLa/heartlib,https://github.com/HeartMuLa/heartlib,,music generation|codec/tokenizer|lyrics transcription,
